subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
1616,1,P,-1,9311,3,135,135,3,0,1,3660
1616,1,P,-2,18480,3,248,248,3,0,1,2301
