subnum,maze,shortestpath,totalmoves,pathlength,planningtime,firstmovetime,solutiontime,totaltime,moveseq,bestseq
161676_,PRACTICE,9,9,9,5371,6093,1253,7346,1|2|3|4|9|14|15|20|25,1|2|3|4|9|14|15|20|25
161676_,13,55,62,57,6286,6714,10835,17549,1|16|31|46|47|48|49|64|65|50|51|52|37|52|53|38|39|54|69|84|99|114|113|128|127|112|111|126|141|156|155|170|185|186|171|172|173|174|159|160|161|146|131|130|115|116|117|118|119|134|149|150|165|180|195|210|225,1|16|31|46|47|48|49|64|65|50|51|52|53|38|39|54|69|84|99|114|113|128|127|112|111|126|141|156|155|170|185|186|171|172|173|174|159|160|161|146|131|130|115|116|117|118|119|134|149|150|165|180|195|210|225
161676_,2,35,37,35,6761,7532,5470,13002,1|2|3|18|19|20|21|36|35|50|65|66|67|68|69|84|99|100|115|114|129|130|131|132|117|118|133|148|149|164|165|180|195|210|225,1|2|3|18|19|20|21|36|35|50|65|66|67|68|69|84|99|100|115|114|129|130|131|132|117|118|133|148|149|164|165|180|195|210|225
