subnum,trial,ticker,sec,skip,resp,corr,starttime,rt,curtime
thth,1,1,1,0,0,1,6230,999,6230
thth,2,3,3,1,0,0,7230,600,7230
thth,3,4,4,0,0,1,8230,600,8230
thth,4,6,6,1,0,0,9230,600,9230
thth,5,7,7,0,0,1,10230,600,10230
thth,6,8,8,0,0,1,11230,600,11230
thth,7,9,9,0,0,1,12230,600,12230
thth,8,11,11,1,0,0,13230,600,13230
thth,9,13,13,1,0,0,14230,600,14230
thth,10,14,14,0,0,1,15230,600,15230
