subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
161,1,P,-1,1,8632,9164,532,532,1,1080,495
161,1,P,-1,2,8632,9955,1323,540,5,1110,300
161,1,P,-1,3,8632,10394,1762,188,4,900,360
