sub,trial,size,current,end,step,abstime,trialtime,clicktime,done
15125,1,3,211,223,0,2765,0,0,0
15125,1,3,212,223,1,4634,1869,1869,0
15125,1,3,232,223,2,5715,2950,1081,0
15125,1,3,231,223,3,6490,3725,775,0
15125,1,3,221,223,4,7323,4558,833,0
15125,1,3,223,223,5,8002,5237,679,1
15125,2,3,312,322,0,9825,0,0,0
15125,2,3,313,322,1,13456,3631,3631,0
15125,2,3,323,322,2,14152,4327,696,0
15125,2,3,322,322,3,14789,4964,637,1
15125,3,3,233,212,0,15708,0,0,0
15125,3,3,232,212,1,18489,2781,2781,0
15125,3,3,212,212,2,19184,3476,695,1
15125,4,3,122,231,0,19956,0,0,0
15125,4,3,322,231,1,25839,5883,5883,0
15125,4,3,321,231,2,26685,6729,846,0
15125,4,3,331,231,3,27806,7850,1121,0
15125,4,3,332,231,4,29525,9569,1719,0
15125,4,3,312,231,5,30254,10298,729,0
15125,4,3,311,231,6,32086,12130,1832,0
15125,4,3,211,231,7,32922,12966,836,0
15125,4,3,212,231,8,33581,13625,659,0
15125,4,3,232,231,9,34628,14672,1047,0
15125,4,3,231,231,10,35368,15412,740,1
15125,5,3,331,323,0,36544,0,0,0
15125,5,3,321,323,1,40045,3501,3501,0
15125,5,3,323,323,2,40811,4267,766,1
15125,6,3,211,122,0,41671,0,0,0
15125,6,3,212,122,1,45631,3960,3960,0
15125,6,3,232,122,2,46323,4652,692,0
15125,6,3,233,122,3,49608,7937,3285,0
15125,6,3,133,122,4,50491,8820,883,0
15125,6,3,131,122,5,51585,9914,1094,0
15125,6,3,121,122,6,52256,10585,671,0
15125,6,3,122,122,7,52811,11140,555,1
15125,7,3,312,121,0,53502,0,0,0
15125,7,3,313,121,1,56450,2948,2948,0
15125,7,3,323,121,2,57182,3680,732,0
15125,7,3,322,121,3,57816,4314,634,0
15125,7,3,122,121,4,58687,5185,871,0
15125,7,3,121,121,5,59332,5830,645,1
15125,8,3,211,121,0,60027,0,0,0
15125,8,3,311,121,1,65799,5772,5772,0
15125,8,3,313,121,2,66502,6475,703,0
15125,8,3,323,121,3,67344,7317,842,0
15125,8,3,322,121,4,68188,8161,844,0
15125,8,3,122,121,5,69005,8978,817,0
15125,8,3,121,121,6,69611,9584,606,1
15125,9,3,131,233,0,70510,0,0,0
15125,9,3,133,233,1,74110,3600,3600,0
15125,9,3,233,233,2,74807,4297,697,1
15125,10,3,222,331,0,75488,0,0,0
15125,10,3,223,331,1,81559,6071,6071,0
15125,10,3,213,331,2,82799,7311,1240,0
15125,10,3,211,331,3,83762,8274,963,0
15125,10,3,311,331,4,84417,8929,655,0
15125,10,3,312,331,5,85311,9823,894,0
15125,10,3,332,331,6,86038,10550,727,0
15125,10,3,331,331,7,86623,11135,585,1
