subnum,trial,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
thaoo,1,s,c,6417,161,<timeout>,0,$?|,6618,8380,161,1500
thaoo,2,n,s,8417,229,<timeout>,0,$\&,8618,10448,229,1500
