"subnum" "trial" "step" "startx" "starty" "xtrans" "ytrans" "label" "targx" "targy" "dist" "timeout" "hit" "rt"
111 2 21 974 706 1 -1 "MODIFIED2" 979 664 42.2966 2000 1 771
111 2 22 980 429 1 -1 "MODIFIED2" 1274 607 343.686 2000 1 1001
111 2 23 1262 487 1 -1 "MODIFIED2" 1033 428 236.478 2000 1 983
111 2 24 1034 665 1 -1 "MODIFIED2" 766 564 286.4 2000 1 1093
111 2 25 769 534 1 -1 "MODIFIED2" 742 265 270.352 2000 1 1191
111 2 26 752 808 1 -1 "MODIFIED2" 561 504 359.022 2000 1 821
111 2 27 565 558 1 -1 "MODIFIED2" 815 345 328.434 2000 1 961
111 2 28 823 752 1 -1 "MODIFIED2" 986 591 229.107 2000 1 1321
111 2 29 990 506 1 -1 "MODIFIED2" 1200 801 362.112 2000 1 1211
111 2 30 1202 297 1 -1 "MODIFIED2" 1153 505 213.694 2000 1 572
111 3 1 988 969 1 -1 "MODIFIED3" 1136 782 238.481 2000 1 1934
111 3 2 1134 322 1 -1 "MODIFIED3" 959 540 279.551 2000 1 651
111 3 3 958 529 1 -1 "MODIFIED3" 1258 545 300.426 2000 1 801
111 3 4 1250 522 1 -1 "MODIFIED3" 1322 252 279.435 2000 1 1263
111 3 5 1303 830 1 -1 "MODIFIED3" 1348 551 282.606 2000 1 1011
111 3 6 1358 542 1 -1 "MODIFIED3" 1126 350 301.144 2000 1 1071
111 3 7 1132 717 1 -1 "MODIFIED3" 1212 637 113.137 2000 1 881
111 3 8 1224 458 1 -1 "MODIFIED3" 951 783 424.446 2000 1 591
111 3 9 942 282 1 -1 "MODIFIED3" 1248 825 623.286 2000 1 1101
111 3 10 1244 238 1 -1 "MODIFIED3" 1204 528 292.746 2000 1 911
111 3 11 1211 551 1 -1 "MODIFIED3" 936 663 296.933 2000 1 751
111 3 12 923 432 1 -1 "MODIFIED3" 1210 540 306.648 2000 1 533
111 3 13 1200 553 1 -1 "MODIFIED3" 1031 781 283.805 2000 1 951
111 3 14 1029 316 1 -1 "MODIFIED3" 739 709 488.415 2000 1 951
111 3 15 754 381 1 -1 "MODIFIED3" 1014 588 332.339 2000 1 1060
111 3 16 1028 503 1 -1 "MODIFIED3" 1228 377 236.381 2000 1 1212
111 3 17 1243 694 1 -1 "MODIFIED3" 928 369 452.604 2000 1 1001
111 3 18 930 695 1 -1 "MODIFIED3" 890 666 49.4065 2000 1 663
111 3 19 888 427 1 -1 "MODIFIED3" 1188 702 406.971 2000 1 1221
111 3 20 1201 363 1 -1 "MODIFIED3" 903 797 526.46 2000 1 1241
111 3 21 895 300 1 -1 "MODIFIED3" 1188 701 496.639 2000 1 661
111 3 22 1191 392 1 -1 "MODIFIED3" 1263 411 74.4648 2000 1 951
111 3 23 1259 661 1 -1 "MODIFIED3" 981 514 314.473 2000 1 1222
111 3 24 967 557 1 -1 "MODIFIED3" 1266 419 329.31 2000 1 771
111 3 25 1276 645 1 -1 "MODIFIED3" 981 325 435.23 2000 1 1291
111 3 26 978 738 1 -1 "MODIFIED3" 681 336 499.813 2000 1 961
111 3 27 681 758 1 -1 "MODIFIED3" 876 565 274.361 2000 1 911
111 3 28 886 504 1 -1 "MODIFIED3" 1086 779 340.037 2000 1 1011
111 3 29 1077 312 1 -1 "MODIFIED3" 786 780 551.094 2000 1 1221
111 3 30 783 282 1 -1 "MODIFIED3" 1079 716 525.33 2000 1 951
111 4 1 966 982 1 -1 "MODIFIED4" 789 293 711.372 2000 1 816
111 4 2 813 791 1 -1 "MODIFIED4" 595 521 347.022 2000 1 1164
111 4 3 582 552 1 -1 "MODIFIED4" 791 294 332.032 2000 1 702
111 4 4 781 769 1 -1 "MODIFIED4" 876 582 209.747 2000 1 941
111 4 5 869 515 1 -1 "MODIFIED4" 780 297 235.468 2000 1 992
111 4 6 763 782 1 -1 "MODIFIED4" 1077 255 613.453 2000 1 1041
111 4 7 1089 816 1 -1 "MODIFIED4" 951 527 320.258 2000 1 784
111 4 8 955 570 1 -1 "MODIFIED4" 782 774 267.479 2000 1 933
111 4 9 783 320 1 -1 "MODIFIED4" 634 513 243.824 2000 1 702
111 4 10 616 561 1 -1 "MODIFIED4" 575 808 250.38 2000 1 861
111 4 11 590 278 1 -1 "MODIFIED4" 705 537 283.383 2000 1 834
111 4 12 689 550 1 -1 "MODIFIED4" 740 835 289.527 2000 1 771
111 4 13 740 260 1 -1 "MODIFIED4" 996 679 491.016 2000 1 651
111 4 14 983 420 1 -1 "MODIFIED4" 716 569 305.761 2000 1 881
111 4 15 717 495 1 -1 "MODIFIED4" 907 338 246.473 2000 1 791
111 4 16 897 734 1 -1 "MODIFIED4" 610 296 523.654 2000 1 771
111 4 17 614 769 1 -1 "MODIFIED4" 645 594 177.725 2000 1 461
111 4 18 652 479 1 -1 "MODIFIED4" 887 417 243.041 2000 1 1061
111 4 19 892 645 1 -1 "MODIFIED4" 857 716 79.1581 2000 1 1071
111 4 20 858 350 1 -1 "MODIFIED4" 563 776 518.171 2000 1 802
111 4 21 572 319 1 -1 "MODIFIED4" 829 636 408.091 2000 1 981
111 4 22 843 452 1 -1 "MODIFIED4" 982 378 157.471 2000 1 1031
111 4 23 980 687 1 -1 "MODIFIED4" 746 562 265.294 2000 1 791
111 4 24 739 534 1 -1 "MODIFIED4" 1045 553 306.589 2000 1 931
111 4 25 1053 542 1 -1 "MODIFIED4" 1070 254 288.501 2000 1 641
111 4 26 1061 814 1 -1 "MODIFIED4" 1231 507 350.926 2000 1 721
111 4 27 1242 589 1 -1 "MODIFIED4" 1023 291 369.818 2000 1 1401
111 4 28 1025 774 1 -1 "MODIFIED4" 1002 590 185.432 2000 1 831
111 4 29 987 500 1 -1 "MODIFIED4" 705 552 286.754 2000 1 851
111 4 30 707 528 1 -1 "MODIFIED4" 980 433 289.057 2000 1 821
