function_name,function_type,library,namespace,parameters,in_reference,in_source,status,Action,sphinx_implemented
Handletextboxrightclick,PEBL_FUNCTION,UI.pbl,,"box, exit:"""", click:0, xypos:0",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Hide,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Hidebutton,PEBL_FUNCTION,UI.pbl,,button,YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Hidemenu,PEBL_FUNCTION,UI.pbl,,"obj, xy",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Hideobject,PEBL_FUNCTION,Graphics.pbl,,obj,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,graphics.rst (full)
Hl,PEBL_FUNCTION,HTML.pbl,,,YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Img,PEBL_FUNCTION,HTML.pbl,,"filename, width",YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Initializeupload,PEBL_FUNCTION,Utility.pbl,,"file:""""",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Insert,PEBL_FUNCTION,Design.pbl,,"list, item, pos",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Insertattneavepointrandom,PEBL_FUNCTION,Graphics.pbl,,"path, point, minangle, maxangle",NO,NO,PEBL_UNDOCUMENTED,HIDDEN,graphics.rst (hidden)
Inside,PEBL_FUNCTION,Utility.pbl,,"click, object",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Insidemenu,PEBL_FUNCTION,UI.pbl,,"xy, object",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Insidetb,PEBL_FUNCTION,UI.pbl,,"xy, object",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Isanykeydown,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isaudioout,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
