"subnum" "stimtype" "block" "trialtype" "trial" "condition" "stim" "dim1" "dim2" "time0" "resp1" "rt1" "corr1" "resp2" "rt2" "corr2" "tooslow"
333 4 3 "PRACTICE" -25 3 1 1 1 147402 1 599 1 9 617 1 0
333 4 3 "PRACTICE" -24 3 3 1 0 148930 1 673 1 0 692 1 0
333 4 3 "PRACTICE" -23 3 4 0 0 150510 2 548 1 0 574 1 0
333 4 3 "PRACTICE" -22 3 2 0 1 151977 2 634 1 9 662 1 0
333 4 3 "PRACTICE" -21 3 3 1 0 153783 1 519 1 0 539 1 0
333 4 3 "PRACTICE" -20 3 2 0 1 155443 2 486 1 9 509 1 0
333 4 3 "PRACTICE" -19 3 4 0 0 157123 2 463 1 0 485 1 0
333 4 3 "PRACTICE" -18 3 1 1 1 158770 1 428 1 9 454 1 0
333 4 3 "TEST" 1 3 3 1 0 160060 2 549 0 0 556 1 0
333 4 3 "TEST" 2 3 4 0 0 162065 2 496 1 0 506 1 0
333 4 3 "TEST" 3 3 1 1 1 163662 1 510 1 9 502 1 0
333 4 3 "TEST" 4 3 2 0 1 165463 2 553 1 9 572 1 0
333 4 3 "TEST" 5 3 3 1 0 166843 1 488 1 0 514 1 0
333 4 3 "TEST" 6 3 2 0 1 168219 2 471 1 9 494 1 0
333 4 3 "TEST" 7 3 4 0 0 169543 1 420 0 0 428 1 0
333 4 3 "TEST" 8 3 1 1 1 171499 1 504 1 9 500 1 0
333 4 3 "TEST" 9 3 3 1 0 173299 2 459 0 0 467 1 0
333 4 3 "TEST" 10 3 2 0 1 175385 2 704 1 9 721 1 0
333 4 3 "TEST" 11 3 4 0 0 177380 2 475 1 0 478 1 0
333 4 3 "TEST" 12 3 1 1 1 178697 1 505 1 9 523 1 0
333 4 3 "TEST" 13 3 2 0 1 180508 2 506 1 9 539 1 0
333 4 3 "TEST" 14 3 3 1 0 182018 1 478 1 0 488 1 0
333 4 3 "TEST" 15 3 4 0 0 183729 2 484 1 0 484 1 0
333 4 3 "TEST" 16 3 1 1 1 185144 1 484 1 9 493 1 0
333 4 3 "TEST" 17 3 4 0 0 186606 2 500 1 0 489 1 0
333 4 3 "TEST" 18 3 3 1 0 187988 1 464 1 9 490 0 0
333 4 3 "TEST" 19 3 2 0 1 189846 2 492 1 9 504 1 0
333 4 3 "TEST" 20 3 1 1 1 191280 2 509 0 9 509 1 0
333 4 3 "TEST" 21 3 4 0 0 193392 2 490 1 0 496 1 0
333 4 3 "TEST" 22 3 3 1 0 194842 1 474 1 0 471 1 0
333 4 3 "TEST" 23 3 2 0 1 196521 2 525 1 9 555 1 0
333 4 3 "TEST" 24 3 1 1 1 197946 1 520 1 9 505 1 0
333 4 3 "TEST" 25 3 2 0 1 199528 2 439 1 9 456 1 0
333 4 4 "PRACTICE" -25 1 2 0 1 252142 2 1108 1 NA 0 0 0
333 4 4 "PRACTICE" -24 1 4 0 0 254411 2 452 1 NA 0 0 0
333 4 4 "PRACTICE" -23 1 1 1 1 255713 1 436 1 NA 0 0 0
333 4 4 "PRACTICE" -22 1 3 1 0 257010 1 423 1 NA 0 0 0
333 4 4 "PRACTICE" -21 1 3 1 0 258419 1 452 1 NA 0 0 0
333 4 4 "PRACTICE" -20 1 2 0 1 259894 2 443 1 NA 0 0 0
333 4 4 "PRACTICE" -19 1 1 1 1 261503 1 420 1 NA 0 0 0
333 4 4 "PRACTICE" -18 1 4 0 0 262761 2 514 1 NA 0 0 0
333 4 4 "TEST" 1 1 3 1 0 264196 1 403 1 NA 0 0 0
333 4 4 "TEST" 2 1 2 0 1 265563 1 435 0 NA 0 0 0
333 4 4 "TEST" 3 1 4 0 0 267503 2 470 1 NA 0 0 0
333 4 4 "TEST" 4 1 1 1 1 269263 1 412 1 NA 0 0 0
333 4 4 "TEST" 5 1 4 0 0 270975 2 459 1 NA 0 0 0
333 4 4 "TEST" 6 1 3 1 0 272592 1 418 1 NA 0 0 0
333 4 4 "TEST" 7 1 2 0 1 273835 2 542 1 NA 0 0 0
333 4 4 "TEST" 8 1 1 1 1 275434 1 349 1 NA 0 0 0
333 4 4 "TEST" 9 1 3 1 0 276721 1 485 1 NA 0 0 0
333 4 4 "TEST" 10 1 1 1 1 278232 1 433 1 NA 0 0 0
333 4 4 "TEST" 11 1 4 0 0 279556 2 522 1 NA 0 0 0
333 4 4 "TEST" 12 1 2 0 1 281361 2 462 1 NA 0 0 0
333 4 4 "TEST" 13 1 4 0 0 282678 2 499 1 NA 0 0 0
333 4 4 "TEST" 14 1 3 1 0 284205 1 461 1 NA 0 0 0
333 4 4 "TEST" 15 1 1 1 1 285944 1 417 1 NA 0 0 0
333 4 4 "TEST" 16 1 2 0 1 287445 2 486 1 NA 0 0 0
333 4 4 "TEST" 17 1 4 0 0 289161 2 486 1 NA 0 0 0
333 4 4 "TEST" 18 1 3 1 0 290680 1 545 1 NA 0 0 0
333 4 4 "TEST" 19 1 2 0 1 292527 2 489 1 NA 0 0 0
