subnum,block,trial,blocktrial,deadline,usetimer,l1,l2,x1,y1,x2,y2,toolong,resp,corr,rt,time0
32,1,1,1,10000,1,117,110,920,476,1002,490,0,<rshift>,0,1224,5482
32,1,2,2,10000,1,120,116,919,483,999,479,0,<lshift>,1,262,7217
32,1,3,3,10000,1,110,118,922,487,1002,479,0,<rshift>,1,355,7987
32,1,4,4,10000,1,114,113,920,481,1001,485,0,<rshift>,0,244,8846
32,1,5,5,10000,1,116,112,920,482,999,484,0,<lshift>,1,183,9595
32,1,6,6,10000,1,117,115,918,486,998,477,0,<rshift>,0,288,10287
32,1,7,7,10000,1,115,110,918,478,1000,489,0,<lshift>,1,459,11082
32,1,8,8,10000,1,117,116,919,477,1001,486,0,<rshift>,0,395,12050
32,1,9,9,10000,1,117,110,922,479,998,487,0,<lshift>,1,535,12953
32,1,10,10,10000,1,112,114,921,484,999,483,0,<rshift>,1,444,13992
32,1,11,11,10000,1,118,114,918,482,1001,482,0,<lshift>,1,572,14946
32,1,12,12,10000,1,112,113,921,483,1001,484,0,<rshift>,1,530,16027
32,1,13,13,10000,1,117,120,921,484,1000,477,0,<rshift>,1,460,17067
32,1,14,14,10000,1,120,114,918,475,1002,488,0,<lshift>,1,465,18036
32,1,15,15,10000,1,119,115,922,480,1002,482,0,<rshift>,0,524,19010
32,2,16,1,2000,1,117,120,918,477,1002,484,1,<timeout>,0,2003,26674
32,2,17,2,2000,1,120,115,921,478,1002,484,0,<rshift>,0,1267,29187
32,2,18,3,2000,1,117,111,918,479,1000,486,0,<rshift>,0,892,30962
32,2,19,4,2000,1,117,116,920,478,999,485,1,<timeout>,0,2002,32363
32,2,20,5,2000,1,119,114,922,477,998,486,1,<timeout>,0,2002,34874
32,2,21,6,2000,1,113,119,918,478,999,485,0,<lshift>,0,1305,37386
32,2,22,7,2000,1,119,114,922,485,1001,478,1,<timeout>,0,2002,39199
32,2,23,8,2000,1,113,112,921,486,999,481,1,<timeout>,0,2004,41707
32,2,24,9,2000,1,115,116,921,483,1002,481,1,<timeout>,0,2003,44221
32,2,25,10,2000,1,111,117,922,482,999,483,1,<timeout>,0,2002,46734
32,2,26,11,2000,1,117,115,919,479,1001,484,1,<timeout>,0,2003,49250
32,2,27,12,2000,1,115,120,921,486,999,476,1,<timeout>,0,2002,51766
32,2,28,13,2000,1,114,110,920,478,1002,490,1,<timeout>,0,2003,54280
32,2,29,14,2000,1,120,110,918,485,1001,480,1,<timeout>,0,2002,56796
32,2,30,15,2000,1,114,118,918,488,998,476,1,<timeout>,0,2002,59310
