subnum,maze,event,move,pos,x,y,abstime
11111,JSON Object,MOVE,[5, 12],1066,310,254549
11111,JSON Object,MOVE,[5, 11],1040,310,254636
11111,JSON Object,MOVE,[6, 11],1040,336,254814
11111,JSON Object,MOVE,[7, 11],1040,363,256939
11111,JSON Object,MOVE,[7, 10],1013,363,257079
11111,JSON Object,MOVE,[7, 9],986,363,257283
11111,JSON Object,MOVE,[6, 9],986,336,257434
11111,JSON Object,MOVE,[5, 9],986,310,257655
11111,JSON Object,MOVE,[4, 9],986,283,257839
11111,JSON Object,MOVE,[4, 8],959,283,257943
11111,JSON Object,MOVE,[4, 8],959,283,258144
11111,JSON Object,MOVE,[4, 8],959,283,258318
11111,JSON Object,MOVE,[4, 8],959,283,258503
11111,JSON Object,MOVE,[4, 7],933,283,258698
11111,JSON Object,MOVE,[5, 7],933,310,258842
11111,JSON Object,MOVE,[6, 7],933,336,259025
11111,JSON Object,MOVE,[7, 7],933,363,259224
11111,JSON Object,MOVE,[8, 7],933,390,259408
11111,JSON Object,MOVE,[9, 7],933,416,259573
11111,JSON Object,MOVE,[9, 8],959,416,259722
11111,JSON Object,MOVE,[8, 8],959,390,259905
11111,JSON Object,MOVE,[8, 9],986,390,260046
11111,JSON Object,MOVE,[9, 9],986,416,260186
11111,JSON Object,MOVE,[9, 10],1013,416,260358
11111,JSON Object,MOVE,[10, 10],1013,443,260437
11111,JSON Object,MOVE,[10, 11],1040,443,260557
11111,JSON Object,MOVE,[10, 10],1013,443,260912
11111,JSON Object,MOVE,[11, 10],1013,470,261005
11111,JSON Object,MOVE,[11, 11],1040,470,261191
11111,JSON Object,MOVE,[11, 12],1066,470,261426
11111,JSON Object,MOVE,[12, 12],1066,496,261763
11111,JSON Object,MOVE,[12, 13],1093,496,261937
11111,JSON Object,MOVE,[12, 13],1093,496,262025
11111,JSON Object,MOVE,[12, 12],1066,496,262294
11111,JSON Object,MOVE,[13, 12],1066,523,262403
11111,JSON Object,MOVE,[13, 13],1093,523,262582
11111,JSON Object,MOVE,[13, 14],1120,523,262880
11111,JSON Object,MOVE,[14, 14],1120,549,263197
11111,JSON Object,MOVE,[14, 15],1146,549,263363
11111,JSON Object,MOVE,[15, 15],1146,576,263595
11111,JSON Object,MOVE,[1, 2],800,203,267567
11111,JSON Object,MOVE,[1, 3],826,203,267746
11111,JSON Object,MOVE,[1, 4],853,203,267916
11111,JSON Object,MOVE,[2, 4],853,230,268152
11111,JSON Object,MOVE,[2, 4],853,230,268329
11111,JSON Object,MOVE,[3, 4],853,256,268473
11111,JSON Object,MOVE,[3, 5],880,256,268808
11111,JSON Object,MOVE,[4, 5],880,283,268941
11111,JSON Object,MOVE,[4, 6],906,283,269149
11111,JSON Object,MOVE,[4, 7],933,283,269313
11111,JSON Object,MOVE,[5, 7],933,310,269534
11111,JSON Object,MOVE,[6, 7],933,336,269752
11111,JSON Object,MOVE,[6, 8],959,336,269866
11111,JSON Object,MOVE,[7, 8],959,363,270027
11111,JSON Object,MOVE,[7, 9],986,363,270642
11111,JSON Object,MOVE,[6, 9],986,336,270846
11111,JSON Object,MOVE,[6, 10],1013,336,271046
11111,JSON Object,MOVE,[6, 11],1040,336,271239
11111,JSON Object,MOVE,[6, 12],1066,336,271405
11111,JSON Object,MOVE,[6, 13],1093,336,271579
11111,JSON Object,MOVE,[6, 14],1120,336,271749
11111,JSON Object,MOVE,[7, 14],1120,363,271936
11111,JSON Object,MOVE,[8, 14],1120,390,272165
11111,JSON Object,MOVE,[8, 15],1146,390,272349
11111,JSON Object,MOVE,[9, 15],1146,416,272448
11111,JSON Object,MOVE,[9, 14],1120,416,272634
11111,JSON Object,MOVE,[10, 14],1120,443,272834
11111,JSON Object,MOVE,[11, 14],1120,470,273009
11111,JSON Object,MOVE,[11, 13],1093,470,273089
11111,JSON Object,MOVE,[12, 13],1093,496,273243
11111,JSON Object,MOVE,[12, 14],1120,496,273527
11111,JSON Object,MOVE,[13, 14],1120,523,273761
11111,JSON Object,MOVE,[13, 13],1093,523,273927
11111,JSON Object,MOVE,[14, 13],1093,549,274024
11111,JSON Object,MOVE,[14, 14],1120,549,274196
11111,JSON Object,MOVE,[15, 14],1120,576,274531
11111,JSON Object,MOVE,[15, 15],1146,576,274682
11111,JSON Object,MOVE,[1, 2],800,203,277734
11111,JSON Object,MOVE,[1, 3],826,203,277907
11111,JSON Object,MOVE,[1, 4],853,203,278077
11111,JSON Object,MOVE,[1, 5],880,203,278249
11111,JSON Object,MOVE,[2, 5],880,230,278427
11111,JSON Object,MOVE,[3, 5],880,256,278643
11111,JSON Object,MOVE,[3, 6],906,256,278827
11111,JSON Object,MOVE,[4, 6],906,283,278985
11111,JSON Object,MOVE,[5, 6],906,310,279143
11111,JSON Object,MOVE,[6, 6],906,336,279323
11111,JSON Object,MOVE,[6, 7],933,336,279481
11111,JSON Object,MOVE,[7, 7],933,363,279601
11111,JSON Object,MOVE,[8, 7],933,390,280313
11111,JSON Object,MOVE,[8, 6],906,390,280432
11111,JSON Object,MOVE,[8, 5],880,390,280646
11111,JSON Object,MOVE,[9, 5],880,416,280860
11111,JSON Object,MOVE,[9, 6],906,416,281055
11111,JSON Object,MOVE,[10, 6],906,443,281299
11111,JSON Object,MOVE,[10, 7],933,443,281481
11111,JSON Object,MOVE,[10, 8],959,443,281694
11111,JSON Object,MOVE,[10, 9],986,443,281909
11111,JSON Object,MOVE,[11, 9],986,470,282110
11111,JSON Object,MOVE,[11, 10],1013,470,282264
11111,JSON Object,MOVE,[11, 11],1040,470,282523
11111,JSON Object,MOVE,[10, 11],1040,443,282752
11111,JSON Object,MOVE,[11, 11],1040,470,283412
11111,JSON Object,MOVE,[11, 10],1013,470,283552
11111,JSON Object,MOVE,[11, 9],986,470,283773
11111,JSON Object,MOVE,[10, 9],986,443,283941
11111,JSON Object,MOVE,[10, 8],959,443,284061
11111,JSON Object,MOVE,[10, 7],933,443,284252
11111,JSON Object,MOVE,[11, 7],933,470,284401
11111,JSON Object,MOVE,[12, 7],933,496,284606
11111,JSON Object,MOVE,[13, 7],933,523,284794
11111,JSON Object,MOVE,[14, 7],933,549,284965
11111,JSON Object,MOVE,[14, 8],959,549,285112
11111,JSON Object,MOVE,[14, 9],986,549,285318
11111,JSON Object,MOVE,[14, 10],1013,549,285494
11111,JSON Object,MOVE,[14, 11],1040,549,285668
11111,JSON Object,MOVE,[14, 12],1066,549,285840
11111,JSON Object,MOVE,[14, 13],1093,549,285992
11111,JSON Object,MOVE,[15, 13],1093,576,286136
11111,JSON Object,MOVE,[15, 14],1120,576,286305
11111,JSON Object,MOVE,[15, 15],1146,576,286504
11111,JSON Object,MOVE,[1, 2],800,203,288492
11111,JSON Object,MOVE,[1, 3],826,203,288664
11111,JSON Object,MOVE,[1, 3],826,203,288829
11111,JSON Object,MOVE,[2, 3],826,230,289005
11111,JSON Object,MOVE,[3, 3],826,256,289191
11111,JSON Object,MOVE,[4, 3],826,283,289361
11111,JSON Object,MOVE,[4, 3],826,283,289476
11111,JSON Object,MOVE,[5, 3],826,310,289572
11111,JSON Object,MOVE,[5, 2],800,310,289824
11111,JSON Object,MOVE,[6, 2],800,336,289938
11111,JSON Object,MOVE,[7, 2],800,363,292185
11111,JSON Object,MOVE,[8, 2],800,390,292692
11111,JSON Object,MOVE,[9, 2],800,416,292881
11111,JSON Object,MOVE,[10, 2],800,443,293236
11111,JSON Object,MOVE,[10, 1],773,443,293492
11111,JSON Object,MOVE,[11, 1],773,470,293569
11111,JSON Object,MOVE,[10, 1],773,443,294059
11111,JSON Object,MOVE,[10, 2],800,443,294217
11111,JSON Object,MOVE,[9, 2],800,416,294409
11111,JSON Object,MOVE,[8, 2],800,390,294607
11111,JSON Object,MOVE,[7, 2],800,363,294788
11111,JSON Object,MOVE,[6, 2],800,336,294962
11111,JSON Object,MOVE,[6, 3],826,336,295173
11111,JSON Object,MOVE,[6, 4],853,336,295357
11111,JSON Object,MOVE,[6, 5],880,336,295516
11111,JSON Object,MOVE,[7, 5],880,363,295704
11111,JSON Object,MOVE,[7, 4],853,363,297237
11111,JSON Object,MOVE,[7, 3],826,363,297452
11111,JSON Object,MOVE,[8, 3],826,390,297657
11111,JSON Object,MOVE,[9, 3],826,416,297853
11111,JSON Object,MOVE,[10, 3],826,443,298028
11111,JSON Object,MOVE,[10, 3],826,443,298201
11111,JSON Object,MOVE,[10, 4],853,443,298265
11111,JSON Object,MOVE,[11, 4],853,470,298415
11111,JSON Object,MOVE,[12, 4],853,496,298608
11111,JSON Object,MOVE,[13, 4],853,523,298773
11111,JSON Object,MOVE,[13, 5],880,523,298912
11111,JSON Object,MOVE,[12, 5],880,496,299128
11111,JSON Object,MOVE,[11, 5],880,470,299317
11111,JSON Object,MOVE,[11, 6],906,470,299532
11111,JSON Object,MOVE,[11, 6],906,470,299724
11111,JSON Object,MOVE,[10, 6],906,443,299802
11111,JSON Object,MOVE,[10, 7],933,443,299979
11111,JSON Object,MOVE,[10, 8],959,443,300613
11111,JSON Object,MOVE,[10, 9],986,443,300794
11111,JSON Object,MOVE,[11, 9],986,470,301128
11111,JSON Object,MOVE,[12, 9],986,496,301313
11111,JSON Object,MOVE,[13, 9],986,523,301471
11111,JSON Object,MOVE,[13, 10],1013,523,301629
11111,JSON Object,MOVE,[13, 9],986,523,302108
11111,JSON Object,MOVE,[12, 9],986,496,302314
11111,JSON Object,MOVE,[11, 9],986,470,302510
11111,JSON Object,MOVE,[10, 9],986,443,302681
11111,JSON Object,MOVE,[10, 10],1013,443,302844
11111,JSON Object,MOVE,[9, 10],1013,416,303015
11111,JSON Object,MOVE,[9, 11],1040,416,303088
11111,JSON Object,MOVE,[8, 11],1040,390,303233
11111,JSON Object,MOVE,[8, 12],1066,390,303561
11111,JSON Object,MOVE,[8, 13],1093,390,303909
11111,JSON Object,MOVE,[8, 14],1120,390,304066
11111,JSON Object,MOVE,[9, 14],1120,416,304181
11111,JSON Object,MOVE,[9, 14],1120,416,304384
11111,JSON Object,MOVE,[9, 13],1093,416,304575
11111,JSON Object,MOVE,[10, 13],1093,443,304673
11111,JSON Object,MOVE,[10, 14],1120,443,304854
11111,JSON Object,MOVE,[11, 14],1120,470,305010
11111,JSON Object,MOVE,[11, 15],1146,470,305327
11111,JSON Object,MOVE,[12, 15],1146,496,305432
11111,JSON Object,MOVE,[12, 14],1120,496,305583
11111,JSON Object,MOVE,[12, 14],1120,496,305692
11111,JSON Object,MOVE,[12, 15],1146,496,305974
11111,JSON Object,MOVE,[13, 15],1146,523,306114
11111,JSON Object,MOVE,[13, 15],1146,523,306305
11111,JSON Object,MOVE,[13, 14],1120,523,306388
11111,JSON Object,MOVE,[14, 14],1120,549,306509
11111,JSON Object,MOVE,[14, 15],1146,549,306755
11111,JSON Object,MOVE,[15, 15],1146,576,306996
11111,JSON Object,MOVE,[1, 2],800,203,310689
11111,JSON Object,MOVE,[1, 3],826,203,310871
11111,JSON Object,MOVE,[1, 4],853,203,311050
11111,JSON Object,MOVE,[1, 5],880,203,311548
11111,JSON Object,MOVE,[1, 6],906,203,311719
11111,JSON Object,MOVE,[1, 7],933,203,311892
11111,JSON Object,MOVE,[1, 8],959,203,312059
11111,JSON Object,MOVE,[1, 9],986,203,312220
11111,JSON Object,MOVE,[1, 10],1013,203,312395
11111,JSON Object,MOVE,[2, 10],1013,230,312574
11111,JSON Object,MOVE,[2, 9],986,230,312702
11111,JSON Object,MOVE,[2, 9],986,230,312815
11111,JSON Object,MOVE,[2, 8],959,230,312909
11111,JSON Object,MOVE,[3, 8],959,256,313087
11111,JSON Object,MOVE,[3, 7],933,256,313208
11111,JSON Object,MOVE,[3, 7],933,256,313394
11111,JSON Object,MOVE,[4, 7],933,283,313558
11111,JSON Object,MOVE,[5, 7],933,310,313778
11111,JSON Object,MOVE,[6, 7],933,336,313959
11111,JSON Object,MOVE,[6, 6],906,336,314099
11111,JSON Object,MOVE,[7, 6],906,363,314199
11111,JSON Object,MOVE,[8, 6],906,390,314454
11111,JSON Object,MOVE,[8, 7],933,390,314627
11111,JSON Object,MOVE,[9, 7],933,416,314778
11111,JSON Object,MOVE,[8, 7],933,390,315130
11111,JSON Object,MOVE,[8, 6],906,390,316571
11111,JSON Object,MOVE,[7, 6],906,363,316637
11111,JSON Object,MOVE,[7, 5],880,363,316744
11111,JSON Object,MOVE,[6, 5],880,336,316855
11111,JSON Object,MOVE,[6, 4],853,336,317000
11111,JSON Object,MOVE,[7, 4],853,363,317272
11111,JSON Object,MOVE,[7, 3],826,363,317601
11111,JSON Object,MOVE,[8, 3],826,390,317743
11111,JSON Object,MOVE,[9, 3],826,416,317969
11111,JSON Object,MOVE,[10, 3],826,443,318180
11111,JSON Object,MOVE,[10, 3],826,443,318382
11111,JSON Object,MOVE,[9, 3],826,416,318549
11111,JSON Object,MOVE,[9, 2],800,416,318741
11111,JSON Object,MOVE,[10, 2],800,443,318886
11111,JSON Object,MOVE,[11, 2],800,470,319069
11111,JSON Object,MOVE,[12, 2],800,496,319242
11111,JSON Object,MOVE,[13, 2],800,523,319414
11111,JSON Object,MOVE,[14, 2],800,549,319596
11111,JSON Object,MOVE,[14, 3],826,549,319765
11111,JSON Object,MOVE,[14, 4],853,549,319924
11111,JSON Object,MOVE,[15, 4],853,576,320074
11111,JSON Object,MOVE,[15, 5],880,576,320218
11111,JSON Object,MOVE,[14, 5],880,549,320438
11111,JSON Object,MOVE,[14, 6],906,549,320703
11111,JSON Object,MOVE,[14, 7],933,549,320895
11111,JSON Object,MOVE,[14, 8],959,549,321080
11111,JSON Object,MOVE,[14, 8],959,549,321242
11111,JSON Object,MOVE,[15, 8],959,576,321294
11111,JSON Object,MOVE,[15, 9],986,576,321424
11111,JSON Object,MOVE,[15, 10],1013,576,321619
11111,JSON Object,MOVE,[15, 11],1040,576,321762
11111,JSON Object,MOVE,[14, 11],1040,549,321921
11111,JSON Object,MOVE,[14, 12],1066,549,322097
11111,JSON Object,MOVE,[14, 13],1093,549,322268
11111,JSON Object,MOVE,[14, 13],1093,549,322417
11111,JSON Object,MOVE,[15, 13],1093,576,322467
11111,JSON Object,MOVE,[15, 14],1120,576,322623
11111,JSON Object,MOVE,[15, 15],1146,576,322790
11111,JSON Object,MOVE,[1, 2],800,203,325889
11111,JSON Object,MOVE,[2, 2],800,230,326104
11111,JSON Object,MOVE,[3, 2],800,256,326313
11111,JSON Object,MOVE,[4, 2],800,283,326514
11111,JSON Object,MOVE,[5, 2],800,310,326688
11111,JSON Object,MOVE,[5, 1],773,310,326828
11111,JSON Object,MOVE,[6, 1],773,336,327012
11111,JSON Object,MOVE,[6, 2],800,336,327180
11111,JSON Object,MOVE,[7, 2],800,363,327338
