subNum,block,trial,time0,delay,delay2,rt,resp1,resp2
mm,1,1,3141,2250,2250,403,NO_RESPONSE,response
mm,1,2,5945,1500,1501,381,NO_RESPONSE,response
mm,1,3,7978,1500,1500,267,NO_RESPONSE,response
mm,1,4,9896,750,750,357,NO_RESPONSE,response
mm,1,5,11154,750,751,312,NO_RESPONSE,response
