subnum,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
toehuao,d,q,3107,227,<timeout>,0,#*?,3308,5140,229,1500
toehuao,e,b,5142,223,<timeout>,0,*\/,5342,7178,225,1500
toehuao,o,e,7182,169,<timeout>,0,&#%,7383,9155,171,1500
toehuao,o,a,9182,261,<timeout>,0,$@%,9383,11247,261,1500
toehuao,d,q,11250,136,<timeout>,0,*%$,11451,13191,137,1500
toehuao,b,e,13250,222,<timeout>,0,*|%,13451,15278,224,1500
toehuao,e,a,15294,296,<timeout>,0,*@?,15495,17394,297,1500
