subnum,block,trial,blocktrial,deadline,usetimer,l1,l2,x1,y1,x2,y2,toolong,resp,corr,rt,time0
2,1,1,1,10000,1,114,111,761,477,1158,490,0,<lshift>,1,999,15614
2,1,2,2,10000,1,113,115,762,482,1158,483,0,<lshift>,0,781,17122
2,1,3,3,10000,1,114,117,762,477,1158,487,0,<rshift>,1,371,18413
2,1,4,4,10000,1,112,110,762,483,1160,486,0,<rshift>,0,429,19290
2,1,5,5,10000,1,114,119,759,474,1162,489,0,<rshift>,1,329,20229
2,1,6,6,10000,1,117,118,761,476,1158,486,0,<lshift>,0,281,21069
2,1,1,1,10000,1,114,115,921,486,1002,479,0,<rshift>,1,421,7796
2,1,2,2,10000,1,116,119,919,485,999,477,0,<lshift>,0,314,8726
2,1,3,3,10000,1,112,116,918,488,1001,478,0,<rshift>,1,187,9550
2,1,4,4,10000,1,112,120,922,486,999,478,0,<rshift>,1,184,10246
2,1,5,5,10000,1,113,114,919,483,1002,483,0,<rshift>,1,343,10937
2,1,6,6,10000,1,110,118,918,482,1002,484,0,<lshift>,0,241,11784
2,1,7,7,10000,1,111,120,918,480,1002,484,0,<rshift>,1,265,12528
2,1,8,8,10000,1,116,114,922,477,1001,488,0,<lshift>,1,473,13296
2,1,9,9,10000,1,113,115,922,478,1000,487,0,<rshift>,1,459,14277
2,1,10,10,10000,1,113,114,918,479,1000,487,0,<rshift>,1,608,15246
2,1,11,11,10000,1,113,120,919,486,999,477,0,<rshift>,1,472,16365
2,1,12,12,10000,1,118,114,920,481,1001,483,0,<rshift>,0,567,17341
2,1,13,13,10000,1,119,120,922,485,1000,475,0,<lshift>,0,842,18412
2,1,14,14,10000,1,116,114,918,478,998,487,0,<rshift>,0,922,19764
2,1,15,15,10000,1,115,114,922,481,1002,484,0,<rshift>,0,573,21191
2,2,16,1,2000,1,119,117,922,485,999,476,0,<lshift>,1,464,27320
2,2,17,2,2000,1,116,118,921,484,1002,479,1,<timeout>,0,2001,28294
2,2,18,3,2000,1,112,113,920,483,1000,484,1,<timeout>,0,2003,30805
2,2,19,4,2000,1,111,110,920,482,1002,487,0,<lshift>,1,930,33319
2,2,20,5,2000,1,114,110,922,482,1002,486,0,<rshift>,0,174,34757
2,2,21,6,2000,1,110,120,918,481,999,484,0,<rshift>,1,258,35439
2,2,22,7,2000,1,113,115,922,480,999,485,0,<lshift>,0,304,36204
2,2,23,8,2000,1,113,120,920,481,998,482,0,<rshift>,1,288,37020
2,2,24,9,2000,1,119,113,920,477,999,486,0,<rshift>,0,322,37822
2,2,25,10,2000,1,115,114,918,486,1000,479,0,<rshift>,0,247,38651
2,2,26,11,2000,1,116,113,918,487,1001,478,0,<lshift>,1,265,39408
2,2,27,12,2000,1,113,115,921,487,1001,478,0,<rshift>,1,199,40183
2,2,28,13,2000,1,115,120,919,486,1001,476,0,<rshift>,1,271,40890
2,2,29,14,2000,1,113,114,922,483,1001,483,0,<rshift>,1,231,41664
2,2,30,15,2000,1,117,118,918,482,1001,480,0,<rshift>,1,254,42403
2,3,31,1,1000,1,119,110,920,484,1002,481,0,<rshift>,0,692,52330
2,3,32,2,1000,1,120,117,921,480,1001,481,1,<timeout>,0,1002,53531
2,3,33,3,1000,1,118,114,921,480,1001,484,0,<rshift>,0,700,55040
2,3,34,4,1000,1,112,120,919,487,1001,477,1,<timeout>,0,1003,56251
2,3,35,5,1000,1,117,118,919,477,998,485,1,<timeout>,0,1003,57762
2,3,36,6,1000,1,111,114,919,481,1000,486,1,<timeout>,0,1004,59280
2,3,37,7,1000,1,116,119,919,478,998,484,1,<timeout>,0,1004,60794
2,3,38,8,1000,1,119,110,922,475,1000,490,0,<rshift>,0,796,62306
2,3,39,9,1000,1,119,114,921,478,998,485,0,<rshift>,0,707,63618
2,3,40,10,1000,1,113,120,921,479,1001,484,1,<timeout>,0,1003,64830
2,3,41,11,1000,1,119,116,921,485,1002,477,1,<timeout>,0,1005,66344
2,3,42,12,1000,1,110,118,920,488,1001,478,0,<lshift>,0,640,67857
2,3,43,13,1000,1,115,112,920,486,998,480,1,<timeout>,0,1004,69010
2,3,44,14,1000,1,120,110,920,476,998,489,0,<rshift>,0,691,70523
2,3,45,15,1000,1,115,114,922,480,1002,485,1,<timeout>,0,1003,71723
