subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
111,1,P,-1,1,13890,14825,935,935,1,1080,495
111,1,P,-1,2,13890,16392,2502,1317,3,1230,390
111,1,P,-1,3,13890,16898,3008,255,5,1110,300
