subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
thouto,1,P,-1,8709,3,135,145,2,1,0,3034
thouto,1,P,-2,17254,3,248,248,3,0,1,2168
thouto,1,P,-3,24934,3,679,541,0,3,0,2171
thouto,1,T,1,32706,2,85,58,0,2,0,2114
thouto,1,T,2,39327,2,64,54,1,1,0,2630
otuho,1,P,-1,9353,3,135,153,1,2,0,3147
161,1,P,-1,8632,3,135,154,1,2,0,2389
1616,1,P,-1,9311,3,135,135,3,0,1,3660
1616,1,P,-2,18480,3,248,248,3,0,1,2301
