subnum,block,trial,blocktrial,deadline,usetimer,l1,l2,x1,y1,x2,y2,toolong,resp,corr,rt,time0
3,1,1,1,10000,1,120,114,918,476,1000,487,0,<lshift>,1,603,5886
3,1,2,2,10000,1,113,120,921,478,1002,485,0,<lshift>,0,502,6998
3,1,3,3,10000,1,117,111,920,480,1001,485,0,<lshift>,1,1172,8004
3,1,4,4,10000,1,117,113,918,477,999,487,0,<lshift>,1,956,9684
3,1,5,5,10000,1,118,111,920,475,999,490,0,<rshift>,0,640,11149
3,1,6,6,10000,1,114,112,920,480,999,487,0,<lshift>,1,649,12293
3,1,7,7,10000,1,118,115,918,478,998,485,0,<lshift>,1,1087,13446
3,1,8,8,10000,1,114,120,918,478,1002,485,0,<rshift>,1,732,15037
3,1,9,9,10000,1,120,114,921,474,1000,489,0,<lshift>,1,813,16277
3,1,10,10,10000,1,113,114,919,477,1001,489,0,<rshift>,1,515,17601
3,1,11,11,10000,1,117,114,922,475,1002,489,0,<rshift>,0,1566,18626
3,1,12,12,10000,1,116,117,918,472,1000,491,0,<rshift>,1,758,20700
3,1,13,13,10000,1,119,115,920,471,998,491,0,<rshift>,0,866,21964
3,1,14,14,10000,1,115,110,918,477,998,490,0,<rshift>,0,792,23339
3,1,15,15,10000,1,119,110,919,476,998,489,0,<lshift>,1,894,24642
3,2,16,1,2000,1,113,120,920,480,1001,483,0,<lshift>,0,745,44497
3,2,17,2,2000,1,119,112,920,474,1002,490,0,<rshift>,0,1061,45750
3,2,18,3,2000,1,117,119,918,471,1000,490,0,<rshift>,1,691,47320
3,2,19,4,2000,1,110,120,919,483,1002,482,0,<rshift>,1,1004,48517
3,2,20,5,2000,1,117,118,921,472,1002,490,0,<rshift>,1,878,50033
3,2,21,6,2000,1,111,114,920,481,1001,486,0,<rshift>,1,818,51421
3,2,22,7,2000,1,113,117,918,480,1002,484,0,<rshift>,1,1015,52750
3,2,23,8,2000,1,112,113,920,477,999,490,0,<lshift>,0,922,54275
3,2,24,9,2000,1,117,112,922,476,1001,489,0,<lshift>,1,670,55708
3,2,25,10,2000,1,118,113,922,471,1000,493,0,<lshift>,1,675,56888
3,2,26,11,2000,1,111,113,921,480,999,487,0,<rshift>,1,1079,58074
3,2,27,12,2000,1,113,120,922,477,1001,486,0,<rshift>,1,624,59665
3,2,28,13,2000,1,114,113,919,478,1002,488,0,<rshift>,0,780,60801
3,2,29,14,2000,1,110,117,919,482,1001,484,0,<rshift>,1,892,62090
3,2,30,15,2000,1,113,115,921,480,998,485,0,<rshift>,1,841,63492
3,3,31,1,1000,1,114,110,922,477,1000,491,0,<lshift>,1,568,71221
3,3,32,2,1000,1,110,118,920,484,1000,482,0,<rshift>,1,787,72297
3,3,33,3,1000,1,119,110,918,476,999,489,0,<lshift>,1,785,73596
3,3,34,4,1000,1,113,111,919,476,998,491,0,<lshift>,1,898,74894
3,3,35,5,1000,1,115,119,920,479,1001,483,0,<rshift>,1,840,76302
3,3,36,6,1000,1,118,117,922,477,1000,485,0,<lshift>,1,729,77654
3,3,37,7,1000,1,110,118,919,476,1002,490,0,<rshift>,1,580,78893
3,3,38,8,1000,1,118,117,920,477,998,485,0,<rshift>,0,628,79983
3,3,39,9,1000,1,117,119,920,476,999,485,0,<lshift>,0,685,81123
3,3,40,10,1000,1,115,111,918,472,998,494,0,<lshift>,1,913,82314
3,3,41,11,1000,1,114,116,919,481,1000,484,0,<rshift>,1,555,83737
3,3,42,12,1000,1,112,111,918,475,1002,493,0,<lshift>,1,824,84805
3,3,43,13,1000,1,118,110,920,478,1001,488,0,<rshift>,0,628,86141
3,3,44,14,1000,1,118,111,921,473,998,492,0,<rshift>,0,711,87280
3,3,45,15,1000,1,112,115,922,478,1002,488,0,<rshift>,1,638,88501
3,4,46,1,700,1,112,120,921,483,1000,481,0,<rshift>,1,546,95227
3,4,47,2,700,1,119,120,918,473,1000,487,0,<lshift>,0,508,96283
3,4,48,3,700,1,118,113,921,478,1002,486,1,<timeout>,0,703,97300
3,4,49,4,700,1,117,120,922,480,999,481,0,<rshift>,1,609,98512
3,4,50,5,700,1,118,120,922,476,999,485,0,<rshift>,1,615,99631
3,4,51,6,700,1,111,119,920,480,1001,484,0,<rshift>,1,693,100757
3,4,52,7,700,1,112,117,921,479,1000,486,0,<rshift>,1,442,101962
3,4,53,8,700,1,110,118,922,484,1002,482,0,<rshift>,1,582,102914
3,4,54,9,700,1,119,113,918,476,1002,487,0,<lshift>,1,631,104001
3,4,55,10,700,1,116,118,918,476,998,487,0,<rshift>,1,394,105138
3,4,56,11,700,1,114,111,918,477,999,490,0,<rshift>,0,569,106048
3,4,57,12,700,1,119,113,919,471,1002,492,0,<rshift>,0,564,107126
3,4,58,13,700,1,114,111,921,479,999,488,0,<rshift>,0,576,108197
3,4,59,14,700,1,118,116,920,477,998,486,0,<lshift>,1,583,109279
3,4,60,15,700,1,117,113,922,472,1001,492,0,<lshift>,1,494,110374
3,5,61,1,400,1,110,117,922,483,998,483,1,<timeout>,0,403,123387
3,5,62,2,400,1,116,113,920,476,998,489,0,<rshift>,0,389,124301
3,5,63,3,400,1,111,120,921,475,1001,489,0,<rshift>,1,327,125199
3,5,64,4,400,1,116,110,918,479,998,488,1,<timeout>,0,402,126035
3,5,65,5,400,1,117,120,918,480,1000,481,0,<lshift>,0,385,126946
3,5,66,6,400,1,112,110,922,479,1002,490,0,<rshift>,0,282,127836
3,5,67,7,400,1,117,116,918,475,999,488,1,<timeout>,0,401,128628
3,5,68,8,400,1,114,119,921,479,1000,484,0,<rshift>,1,273,129540
3,5,69,9,400,1,111,113,918,482,1001,485,1,<timeout>,0,402,130324
3,5,70,10,400,1,110,114,919,480,1000,488,0,<rshift>,1,219,131237
3,5,71,11,400,1,114,111,918,475,1001,492,1,<timeout>,0,403,131967
3,5,72,12,400,1,111,115,921,474,1000,492,0,<lshift>,0,285,132881
3,5,73,13,400,1,113,111,920,475,1001,492,0,<rshift>,0,302,133676
3,5,74,14,400,1,117,113,918,473,998,491,1,<timeout>,0,404,134488
3,5,75,15,400,1,112,118,919,477,998,488,0,<rshift>,1,353,135403
3,1,1,1,1000,1,110,113,921,487,1000,481,1,<timeout>,0,1003,6586
3,1,2,2,1000,1,112,110,918,481,1001,488,0,<rshift>,0,544,8098
3,1,3,3,1000,1,119,114,918,478,1001,485,1,<timeout>,0,1001,9145
3,1,4,4,1000,1,119,113,919,480,1002,483,1,<timeout>,0,1005,10651
3,1,5,5,1000,1,120,112,919,485,999,479,1,<timeout>,0,1004,12166
3,1,1,1,1000,1,117,113,919,479,1001,485,1,<timeout>,0,1002,6700
3,1,2,2,1000,1,112,120,919,483,1000,481,1,<timeout>,0,1002,8211
3,1,3,3,1000,1,116,111,918,486,1002,480,1,<timeout>,0,1004,9725
3,1,4,4,1000,1,118,113,921,484,1002,480,1,<timeout>,0,1006,11240
3,1,5,5,1000,1,117,111,919,480,1002,485,1,<timeout>,0,1003,12760
3,2,6,1,2000,1,117,112,918,476,1002,489,0,<lshift>,1,339,58015
3,2,7,2,2000,1,119,116,922,477,1001,485,1,<timeout>,0,2003,58862
3,2,8,3,2000,1,111,120,918,486,998,478,1,<timeout>,0,2003,61375
3,2,9,4,2000,1,120,118,919,485,998,476,1,<timeout>,0,2007,63891
3,2,10,5,2000,1,120,117,919,477,1002,484,1,<timeout>,0,2004,66406
3,3,11,1,1000,1,117,118,919,481,1000,481,1,<timeout>,0,1002,83154
