subnum,block,type,trial,type,stim,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
1,1,PRACTICE,-25,1,4,8399,2,1832,1,NA,0,0,1
1,1,PRACTICE,-24,1,2,11389,2,1296,1,NA,0,0,1
1,1,PRACTICE,-23,1,3,13564,1,438,1,NA,0,0,1
1,1,PRACTICE,-22,1,1,14946,1,387,1,NA,0,0,1
1,1,PRACTICE,-21,1,1,16345,1,458,1,NA,0,0,1
1,1,PRACTICE,-20,1,4,18038,2,336,1,NA,0,0,1
1,1,PRACTICE,-19,1,2,19612,2,504,1,NA,0,0,1
1,1,PRACTICE,-18,1,3,20943,1,431,1,NA,0,0,1
1,1,TEST,1,1,2,22630,2,654,1,NA,0,0,1
1,1,TEST,2,1,1,24215,1,450,1,NA,0,0,1
1,1,TEST,3,1,3,25807,1,352,1,NA,0,0,1
1,1,TEST,4,1,4,27018,2,486,1,NA,0,0,1
1,1,TEST,5,1,1,28531,1,375,1,NA,0,0,1
1,1,TEST,6,1,2,29949,2,430,1,NA,0,0,1
1,1,TEST,7,1,4,31335,2,374,1,NA,0,0,1
1,1,TEST,8,1,3,32766,1,388,1,NA,0,0,1
1,1,TEST,9,1,1,34392,1,430,1,NA,0,0,1
1,1,TEST,10,1,4,35946,2,381,1,NA,0,0,1
1,1,TEST,11,1,2,37486,1,578,0,NA,0,0,1
1,1,TEST,12,1,3,38983,1,434,1,NA,0,0,1
1,1,TEST,13,1,2,40426,2,445,1,NA,0,0,1
1,1,TEST,14,1,3,42038,1,535,1,NA,0,0,1
1,1,TEST,15,1,1,43746,1,623,1,NA,0,0,1
1,1,TEST,16,1,4,45204,2,419,1,NA,0,0,1
1,1,TEST,17,1,2,46836,2,649,1,NA,0,0,1
1,1,TEST,18,1,1,48352,1,536,1,NA,0,0,1
1,1,TEST,19,1,3,49738,1,649,1,NA,0,0,1
1,1,TEST,20,1,4,51689,2,419,1,NA,0,0,1
1,1,TEST,21,1,1,53390,1,478,1,NA,0,0,1
1,1,TEST,22,1,4,55165,2,462,1,NA,0,0,1
1,1,TEST,23,1,3,56609,1,417,1,NA,0,0,1
1,1,TEST,24,1,2,57851,2,505,1,NA,0,0,1
1,1,TEST,25,1,1,59509,1,518,1,NA,0,0,1
1,1,PRACTICE,-25,4,4,10079,NA,0,0,9,1927,0,1
1,1,PRACTICE,-24,4,2,14546,2,158,1,9,4785,1,1
1,1,PRACTICE,-23,4,3,21828,1,1643,1,0,1642,1,1
1,1,PRACTICE,-22,4,1,24549,1,676,1,9,694,1,1
1,1,PRACTICE,-21,4,2,26225,2,519,1,9,576,1,1
1,1,PRACTICE,-20,4,1,29586,1,644,1,9,643,1,1
1,1,PRACTICE,-19,4,4,31318,2,609,1,0,608,1,1
1,1,PRACTICE,-18,4,3,33042,1,1508,1,0,1525,1,1
1,1,TEST,1,4,2,35818,1,590,0,9,640,1,1
1,1,TEST,2,4,1,37370,1,636,1,9,635,1,1
1,1,TEST,3,4,3,38821,2,605,0,0,631,1,1
1,1,TEST,4,4,4,40646,1,418,0,9,436,0,1
1,1,TEST,5,4,1,42320,1,689,1,9,688,1,1
1,1,TEST,6,4,3,43862,1,1295,1,0,1313,1,1
1,1,TEST,7,4,4,46156,2,833,1,0,833,1,1
1,1,TEST,8,4,2,47947,1,641,0,9,682,1,1
1,1,TEST,9,4,4,49482,2,1930,1,0,1930,1,1
1,1,TEST,10,4,1,52504,1,614,1,9,613,1,1
1,1,TEST,11,4,3,54020,1,719,1,0,718,1,1
1,1,TEST,12,4,2,56013,2,1842,1,9,1842,1,1
1,1,TEST,13,4,1,59113,1,567,1,9,566,1,1
1,1,TEST,14,4,4,60745,2,1063,1,0,1063,1,1
1,1,TEST,15,4,3,63059,2,1090,0,9,1107,0,1
1,1,TEST,16,4,2,65320,1,2725,0,0,2751,0,1
1,1,TEST,17,4,3,69254,1,3652,1,0,3652,1,1
1,1,TEST,18,4,4,74049,2,726,1,0,726,1,1
1,1,TEST,19,4,2,75961,1,1388,0,0,1388,0,1
1,1,TEST,20,4,1,78165,1,1484,1,9,1483,1,1
1,1,TEST,21,4,2,80815,2,2575,1,9,2575,1,1
1,1,TEST,22,4,3,84385,2,1580,0,0,1580,1,1
1,1,TEST,23,4,1,87045,1,625,1,9,624,1,1
1,1,TEST,24,4,4,88830,1,1844,0,0,1844,1,1
1,1,TEST,25,4,3,91897,1,2017,1,0,2017,1,1
