subNum,block,trial,time0,delay,delay2,rt,resp1,resp2
atouea,1,1,2710,2500,2611,389,NO_RESPONSE,response
atouea,1,2,5711,2000,2098,340,NO_RESPONSE,response
atouea,1,3,8150,500,611,632,NO_RESPONSE,response
